surface,angle_deg,target_angle,I_total_mean,I_total_std
linoleum,-180,-3.141592653589793,1.0204846214272765,0.31868595619714557
linoleum,-175,-3.0543261909900767,1.2813902515395053,0.39983944092456686
linoleum,-170,-2.9670597283903604,1.875047837734405,1.3394230346956726
linoleum,-165,-2.8797932657906435,1.762281708864584,0.4168147844001265
linoleum,-160,-2.792526803190927,1.9752337215023783,0.3573268399561911
linoleum,-155,-2.705260340591211,2.177382319173364,0.42614633666727264
linoleum,-150,-2.6179938779914944,2.4716297057224,0.38810434350404033
linoleum,-145,-2.530727415391778,2.4964650432050273,0.5439828591143171
linoleum,-140,-2.443460952792061,2.6044776119402986,0.38843441323340816
linoleum,-135,-2.356194490192345,2.5471543381991144,0.44131342938129053
linoleum,-130,-2.2689280275926285,3.2048462142727656,0.7550333934285635
linoleum,-125,-2.181661564992912,3.4716901323342797,0.8003711097670372
linoleum,-120,-2.0943951023931957,4.032407890616846,1.3498709733529286
linoleum,-115,-2.007128639793479,3.6558704453441297,0.45409586792426265
linoleum,-110,-1.9198621771937625,3.7367648934813116,0.6855894381932077
linoleum,-105,-1.832595714594046,3.8661882893226176,0.49962385374813456
linoleum,-100,-1.7453292519943295,3.6798972172106503,0.5351553729686265
linoleum,-95,-1.6580627893946132,3.6858655440744994,0.7800299282597469
linoleum,-90,-1.5707963267948966,3.8426573426573425,0.5104004527697816
linoleum,-85,-1.4835298641951802,3.937035470421174,0.9433122457231244
linoleum,-80,-1.3962634015954636,3.7448788446431807,0.4462127574335408
linoleum,-75,-1.3089969389957472,3.5733743868072225,0.5822846079140052
linoleum,-70,-1.2217304763960306,3.8499112827471036,0.8349077384743089
linoleum,-65,-1.1344640137963142,3.6511571696174996,0.5085816010731499
linoleum,-60,-1.0471975511965976,3.733092777868897,0.40528008557723844
linoleum,-55,-0.9599310885968813,3.5400470176589582,0.46668120819673353
linoleum,-50,-0.8726646259971648,3.0180416598327047,0.4718795330418135
linoleum,-45,-0.7853981633974483,2.7929784276995586,0.8778651369166661
linoleum,-40,-0.6981317007977318,2.544803455251216,0.5123647747248649
linoleum,-35,-0.6108652381980153,2.4931687715269804,0.36854792493676225
linoleum,-30,-0.5235987755982988,2.299138920780712,0.5703656405694861
linoleum,-25,-0.4363323129985824,2.2772948444590235,0.23549172263460505
linoleum,-20,-0.3490658503988659,1.9570034443168773,0.35242019568269967
linoleum,-15,-0.2617993877991494,1.9395331037122086,0.5430230479009984
linoleum,-10,-0.1745329251994329,1.4210267344595702,0.5641806660104275
linoleum,-5,-0.0872664625997164,1.3617626154939588,0.40553748041602083
linoleum,0,0.0,0.8169591602427424,0.36146489206154964
linoleum,5,0.0872664625997164,1.4411746933349447,0.3884936485015445
linoleum,10,0.1745329251994329,1.657924950148045,0.435970085018946
linoleum,15,0.2617993877991494,2.6185009020829915,1.302271779381969
linoleum,20,0.3490658503988659,2.1775098864651103,0.4481586360385671
linoleum,25,0.4363323129985824,2.3105927850625414,0.5041263643801006
linoleum,30,0.5235987755982988,2.59447700767418,0.3859108818352889
linoleum,35,0.6108652381980153,2.7242824339839267,0.8194698876498846
linoleum,40,0.6981317007977318,2.8655622983981193,0.7082546173811664
linoleum,45,0.7853981633974483,2.7621234486906125,0.48785527900675285
linoleum,50,0.8726646259971648,3.232204362801378,0.6347502198871269
linoleum,55,0.9599310885968813,3.7844295008474114,0.5422874788261848
linoleum,60,1.0471975511965976,3.819082724031664,0.45046584463257194
linoleum,65,1.1344640137963142,3.993712754906785,0.43995635565870256
linoleum,70,1.2217304763960306,4.177841561423651,0.40347480072763403
linoleum,75,1.3089969389957472,3.7525832376578645,0.8451710077152073
linoleum,80,1.3962634015954636,3.998679678530425,0.5660359017625638
linoleum,85,1.4835298641951802,3.930267689890628,0.5297257338332847
linoleum,90,1.5707963267948966,3.8882319173363955,0.5658493272375413
linoleum,95,1.6580627893946132,3.8804761617016137,0.8234500208645231
linoleum,100,1.7453292519943295,3.723907932863157,0.7680048852970316
linoleum,105,1.832595714594046,3.966360505166475,0.5358108797858353
linoleum,110,1.9198621771937625,4.170630364660215,0.5051621015610779
linoleum,115,2.007128639793479,3.8789896670493684,1.0555132985793574
linoleum,120,2.0943951023931957,3.711882893226177,0.5093659019019363
linoleum,125,2.181661564992912,3.906084959816303,0.5966027898309834
linoleum,130,2.2689280275926285,3.266032474987699,0.5092808319377646
linoleum,135,2.356194490192345,2.799021088887546,0.4321282886543724
linoleum,140,2.443460952792061,2.6700344431687713,0.39497211872622146
linoleum,145,2.530727415391778,2.5814852861200075,0.4126465766196297
linoleum,150,2.6179938779914944,2.418347821332896,0.3948442704912909
linoleum,155,2.705260340591211,2.419386583565688,0.3792252394473608
linoleum,160,2.792526803190927,2.2700465284911475,0.2963243540806019
linoleum,165,2.8797932657906435,2.00654420206659,0.27975466850656466
linoleum,170,2.9670597283903604,1.6832437005257117,0.32504636708458273
linoleum,175,3.0543261909900767,1.3232064529423886,0.42370819486408934
grass,-180,-3.141592653589793,3.5576772010393376,0.7627549692106583
grass,-175,-3.0543261909900767,3.203761412716637,0.6390706583845945
grass,-170,-2.9670597283903604,3.3640588267453944,0.5017675951915883
grass,-165,-2.8797932657906435,3.519326444699579,0.5125845206304341
grass,-160,-2.792526803190927,4.154933832859991,0.8165696265923708
grass,-155,-2.705260340591211,4.816494450822809,1.0106057615615653
grass,-150,-2.6179938779914944,5.850287026406429,1.4345510649558246
grass,-145,-2.530727415391778,6.560384888743097,1.5923237852732526
grass,-140,-2.443460952792061,6.551364058826745,1.5930567278904373
grass,-135,-2.356194490192345,6.830140794005681,1.3712904295264792
grass,-130,-2.2689280275926285,8.937277176868694,1.725351218663502
grass,-125,-2.181661564992912,8.094199333005303,2.0336765561527304
grass,-120,-2.0943951023931957,8.874856486796785,2.350233406216667
grass,-115,-2.007128639793479,8.823629107211197,2.2314986128849443
grass,-110,-1.9198621771937625,9.620823010453805,2.344768474975541
grass,-105,-1.832595714594046,9.392333205766041,2.1976969746875246
grass,-100,-1.7453292519943295,9.88828932261768,2.2614509004618495
grass,-95,-1.6580627893946132,9.655326605837212,2.304717710252074
grass,-90,-1.5707963267948966,9.846755234814937,2.255707248861809
grass,-85,-1.4835298641951802,9.888697537951268,2.202871886975079
grass,-80,-1.3962634015954636,10.010004920452682,2.3460319994826824
grass,-75,-1.3089969389957472,9.72155417245755,2.479083562656242
grass,-70,-1.2217304763960306,9.073861461921163,2.0747275474961566
grass,-65,-1.1344640137963142,8.703486615505469,2.1030815586142206
grass,-60,-1.0471975511965976,8.348359417487462,2.1516402832478927
grass,-55,-0.9599310885968813,7.8716538763671515,2.148308373107998
grass,-50,-0.8726646259971648,7.380022962112514,2.49668236355729
grass,-45,-0.7853981633974483,7.117824339839266,1.5442741878485522
grass,-40,-0.6981317007977318,8.141472126546752,0.8011886003834244
grass,-35,-0.6108652381980153,5.5225315729047075,1.3466703701095277
grass,-30,-0.5235987755982988,5.263554024748054,1.3690188906608804
grass,-25,-0.4363323129985824,4.456486796785304,0.8714962046927953
grass,-20,-0.3490658503988659,4.20235361653272,0.6855706017636986
grass,-15,-0.2617993877991494,3.41132797550708,0.48532897120336194
grass,-10,-0.1745329251994329,2.9960636378546828,0.8172617404556395
grass,-5,-0.0872664625997164,3.0205383339711696,0.636780054615988
grass,0,0.0,3.1602427423322945,0.8248886502604125
grass,5,0.0872664625997164,3.092135476463835,0.575479751074441
grass,10,0.1745329251994329,3.125989485769533,0.5475166401999669
grass,15,0.2617993877991494,3.470321469575201,0.5528271526607109
grass,20,0.3490658503988659,6.382423546602651,0.8210931890805651
grass,25,0.4363323129985824,4.688319535923621,1.0360012166268342
grass,30,0.5235987755982988,5.8075556284511505,1.5285303925118383
grass,35,0.6108652381980153,6.578809250451041,1.9685504327848868
grass,40,0.6981317007977318,6.939029548613209,1.9598012406381624
grass,45,0.7853981633974483,6.959332890204847,1.9002334065113629
grass,50,0.8726646259971648,7.857142857142857,1.730903459538948
grass,55,0.9599310885968813,8.397607106169557,2.202006598516551
grass,60,1.0471975511965976,8.657609388952672,2.3858798240370382
grass,65,1.1344640137963142,9.077497129735937,2.262232873700397
grass,70,1.2217304763960306,10.25427806024821,0.8501653255579046
grass,75,1.3089969389957472,9.554206987042809,2.476054276342895
grass,80,1.3962634015954636,10.330217046634957,2.3962512809410317
grass,85,1.4835298641951802,9.30335501977293,2.943040084317093
grass,90,1.5707963267948966,10.013834672789896,2.0871858435903827
grass,95,1.6580627893946132,10.027210103329505,2.270877167075601
grass,100,1.7453292519943295,9.986404012327029,2.971381678345249
grass,105,1.832595714594046,9.494833524684271,2.3453121240319916
grass,110,1.9198621771937625,9.268082663605052,1.7459759085566116
grass,115,2.007128639793479,8.764893481311393,2.594384796372521
grass,120,2.0943951023931957,8.556891655084899,1.9722447654959632
grass,125,2.181661564992912,7.952081696779262,1.7679440257450854
grass,130,2.2689280275926285,7.4437126110339,1.4405822452228265
grass,135,2.356194490192345,6.424952162265596,1.7236881220540496
grass,145,2.530727415391778,5.909299655568312,1.4001886540724482
grass,150,2.6179938779914944,8.3398392652124,0.6014034247520572
grass,155,2.705260340591211,4.3133610792192885,0.7955093967189819
grass,160,2.792526803190927,4.231856909783069,0.7013898573039563
grass,165,2.8797932657906435,3.695305523663732,0.8489653867959583
grass,170,2.9670597283903604,3.503635667814772,0.5043157310168275
grass,175,3.0543261909900767,3.210932516902666,0.6375435453734257
rubber_carpet,-180,-3.141592653589793,3.2546707024318966,0.5042008002064585
rubber_carpet,-175,-3.0543261909900767,3.214466130884041,0.44821255474804367
rubber_carpet,-170,-2.9670597283903604,4.4240528128587835,0.9293535005383384
rubber_carpet,-165,-2.8797932657906435,4.340355912743973,1.086669787203488
rubber_carpet,-160,-2.792526803190927,5.194499530320426,1.5996602500708554
rubber_carpet,-155,-2.705260340591211,6.182444421250391,2.0253081881119335
rubber_carpet,-150,-2.6179938779914944,6.764121699196326,2.347982789579536
rubber_carpet,-145,-2.530727415391778,8.552949538024164,2.1394036785942934
rubber_carpet,-140,-2.443460952792061,9.038826844796993,2.0547756872528464
rubber_carpet,-135,-2.356194490192345,9.137389973210869,1.916560453112058
rubber_carpet,-130,-2.2689280275926285,9.610275545350174,2.168243360790401
rubber_carpet,-125,-2.181661564992912,10.337925755836203,2.442207119976416
rubber_carpet,-120,-2.0943951023931957,11.525675816720593,2.57392113642752
rubber_carpet,-115,-2.007128639793479,11.9237416158076,2.709655903617247
