surface,motion_type,angle_deg,target_angle,I_total,I_total_avg
linoleum,circle,11,0.2000353336334228,1.86796785304248,1.86796785304248
linoleum,circle,23,0.3999989032745362,2.6199770378874856,2.6199770378874856
linoleum,circle,34,0.6000015735626221,1.9586681974741675,1.9586681974741675
linoleum,circle,46,0.8000044822692871,2.9575200918484503,2.9575200918484503
linoleum,circle,57,1.0000507831573486,3.192881745120551,3.192881745120551
linoleum,circle,69,1.2000885009765625,3.9460390355912747,3.9460390355912747
linoleum,circle,80,1.4000327587127686,4.257175660160734,4.257175660160734
linoleum,circle,92,1.6000354290008545,4.470723306544202,4.470723306544202
linoleum,circle,103,1.8000104427337649,4.516647531572904,4.516647531572904
linoleum,circle,115,1.9999933242797847,3.4753157290470726,3.4753157290470726
linoleum,circle,126,2.200035095214844,4.110218140068887,4.110218140068887
linoleum,circle,138,2.400012731552124,2.983926521239954,2.983926521239954
linoleum,circle,149,2.600041627883911,3.1262916188289323,3.1262916188289323
linoleum,circle,160,2.800027370452881,2.3605051664753156,2.3605051664753156
linoleum,circle,172,3.000028133392334,2.0964408725602754,2.0964408725602754
linoleum,circle,-177,-3.083169285451071,2.1779563719862227,2.1779563719862227
linoleum,circle,-165,-2.8831644693957728,1.4282433983926521,1.4282433983926521
linoleum,circle,-154,-2.683189932500021,0.8392652123995409,0.8392652123995409
linoleum,circle,-142,-2.483182493840353,2.0275545350172215,2.0275545350172215
linoleum,circle,-131,-2.2831917444812224,2.8300803673938004,2.8300803673938004
linoleum,circle,-119,-2.083184067402976,2.6394948335246844,2.6394948335246844
linoleum,circle,-108,-1.8831701914416716,3.8587830080367396,3.8587830080367396
linoleum,circle,-96,-1.6831660906421109,4.067738231917336,4.067738231917336
linoleum,circle,-85,-1.483168427144186,4.637198622273249,4.637198622273249
linoleum,circle,-74,-1.2831502596484583,3.774971297359357,3.774971297359357
linoleum,circle,-62,-1.0831707159625454,3.828932261768083,3.828932261768083
linoleum,circle,-51,-0.8831446806537075,3.9770378874856487,3.9770378874856487
