motion_type,surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,odom_x,odom_y,odom_theta,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
straight,linoleum,0.1,0.0,0.2002420425415039,0.0,0.0,0.0,0.0,0.0,0.0,-0.399,-0.456,0.464,0.542
straight,linoleum,0.1,0.0,0.3999669551849365,0.0,0.0,0.0,0.0085893376415029,-0.0002951584558324,-1.875138317465998e-05,-0.692,0.088,-0.064,0.793
straight,linoleum,0.1,0.0,0.6000263690948486,0.0,0.0,0.0,0.0267487424580101,-0.0027585091680556,-0.0001584491533443,-0.422,-0.002,0.033,0.528
straight,linoleum,0.1,0.0,0.7996110916137695,-0.0015492857693007,-0.0037273205510756,-0.00201633841412,0.0460125480039289,-0.0050094186920269,0.0003619018979238,-0.547,-0.122,0.036,0.447
straight,linoleum,0.1,0.0,0.9995989799499512,0.0,0.0,0.0,0.0653286151082626,-0.0066315984344716,0.0006291094869282,-0.416,-0.089,0.061,0.543
straight,linoleum,0.1,0.0,1.1996147632598877,0.0,0.0,0.0,0.0847667270747752,-0.00823020415783,0.0002109531332175,-0.417,-0.038,0.125,0.64
straight,linoleum,0.1,0.0,1.399604082107544,0.0098645796582456,0.0002921336500685,0.0352677020598032,0.1046549996436722,-0.009399671337402,0.0007369301431685,-0.392,-0.043,0.03,0.589
straight,linoleum,0.1,0.0,1.5995967388153076,0.030154664839771,0.0054748239803733,-0.0018748137168476,0.1242867752299193,-0.0104566886406992,2.5314368989346692e-05,-0.399,-0.043,0.08,0.453
straight,linoleum,0.1,0.0,1.7996022701263428,0.0550375567452584,0.0096519856306183,0.0392833801350058,0.1439592596859973,-0.0117720311928399,-0.000240017621183,-0.383,0.017,0.004,0.418
straight,linoleum,0.1,0.0,1.9996106624603271,0.0752860787960721,0.0123977948424126,0.9812578852330708,0.1639264878985101,-0.012717172921283,0.0004097179792153,-0.4,-0.018,0.043,0.537
straight,linoleum,0.1,0.0,2.199690103530884,0.0984362019551558,0.0178415164797872,-0.0086152514528028,0.1839398855387918,-0.0136928674069048,0.000198764726428,-0.352,-0.009,0.014,0.464
straight,linoleum,0.1,0.0,2.399697542190552,0.1203816121672834,0.0208779464295616,0.0356288194919643,0.2040661249286209,-0.0146558358952771,0.000814748546673,-0.448,-0.119,0.036,0.357
straight,linoleum,0.1,0.0,2.599609613418579,0.1417563917601166,0.0219748707052797,0.58096893981613,0.2242407717237693,-0.0155745771448699,0.0005062877303588,-0.325,0.01,0.015,0.55
straight,linoleum,0.1,0.0,2.799595594406128,0.1655742001472102,0.028211006702376,0.026546103735401,0.2439503858352102,-0.016027504151513,0.0005962945101377,-0.34,0.01,-0.021,0.479
straight,linoleum,0.1,0.0,2.999962329864502,0.1906410607937408,0.0312016193311037,0.0246866751287178,0.2639802817240631,-0.0167458743962161,0.0012591575066173,-0.386,0.024,0.014,0.399
straight,linoleum,0.1,0.0,3.200013875961304,0.2128255923111089,0.0372334255077181,0.0525070869419867,0.2843410495668076,-0.0174684719079911,0.0007688075597998,-0.335,-0.012,0.007,0.48
straight,linoleum,0.1,0.0,3.399613857269287,0.2356787637938907,0.038343300483509,0.0273297856895725,0.3048540756350331,-0.018312624377397,0.0010810188464332,-0.188,-0.148,0.007,0.327
straight,linoleum,0.1,0.0,3.5995943546295166,0.257649268375921,0.044948582324264,0.084010663812331,0.3258910133617779,-0.0189588390882798,0.001010700971198,-0.214,-0.102,0.081,0.32
straight,linoleum,0.1,0.0,3.800189733505249,0.2824961969360425,0.0481973550084818,0.0799482366996291,0.3463632467866507,-0.0194537028831605,0.0011832141757619,-0.213,0.028,-0.044,0.317
