motion_type,surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,odom_x,odom_y,odom_theta,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
straight,cell_carpet,0.2,0,0.2000265121459961,0.0040236614044815155,0.0031278069838003852,0.7558450535815355,4.061180350269184e-12,4.061187965307138e-12,0.0,0.0,-0.001,0.0,0.0
straight,cell_carpet,0.2,0,0.3999056816101074,0.0,0.0,0.0,0.019642961091154695,-8.055389792890242e-05,-0.0004397219878712715,-0.637,0.758,-0.697,0.821
straight,cell_carpet,0.2,0,0.6000082492828369,0.0,0.0,0.0,0.05545353316971267,-0.000247974620637873,-0.00031408713915135944,-0.405,0.463,-0.417,0.521
straight,cell_carpet,0.2,0,0.8000321388244629,0.0040236614044815155,0.0031278069838003852,0.7558450535815355,0.09431585912297336,-0.00023602736695831628,-0.00022689280081251563,-0.326,0.37,-0.4,0.395
straight,cell_carpet,0.2,0,0.9999954700469971,0.000345010457217354,0.0009717003101609722,0.02319799235078135,0.1342834608559488,-0.00017301792824383987,-0.00014813662274730074,-0.449,0.4,-0.349,0.32
straight,cell_carpet,0.2,0,1.1999926567077637,0.006498233974605916,0.0030907477962081042,0.755830694624794,0.1735327120298884,-0.00013703967445796616,-2.812720695367572e-06,-0.381,0.412,-0.292,0.433
straight,cell_carpet,0.2,0,1.399977684020996,0.04001754013941322,0.00017180118659798627,0.019188544016692066,0.21269533853812986,-0.00019895559916339043,-5.437926675021065e-05,-0.323,0.353,-0.306,0.407
straight,cell_carpet,0.2,0,1.5999445915222168,0.08081349236494295,0.001431504891877322,0.03273355641736336,0.2528094651329192,-0.000215024957272072,-7.03180173261044e-05,-0.322,0.363,-0.425,0.427
straight,cell_carpet,0.2,0,1.8000359535217285,0.12972604777121904,0.0006744872518584799,0.6852068647621726,0.29255609718080733,-0.0003944595701945185,-4.9691398930964105e-05,-0.331,0.402,-0.419,0.247
straight,cell_carpet,0.2,0,2.0003855228424072,0.1723022929920353,-0.001919695376496111,0.11442290344086492,0.3322796618809522,-0.0004143037419931849,-4.219081041791099e-05,-0.28,0.385,-0.327,0.401
straight,cell_carpet,0.2,0,2.2005677223205566,0.21645476685778936,-0.0036781198183330477,0.14906922672935616,0.37226456282772874,-0.0004628323403204706,5.906713456829675e-05,-0.348,0.397,-0.23,0.392
straight,cell_carpet,0.2,0,2.400379180908203,0.26171263998598737,-0.003912481879811802,0.15377204901693248,0.4120234931550196,-0.0004298293543114849,0.00027564662465491145,-0.317,0.377,-0.371,0.395
straight,cell_carpet,0.2,0,2.6000454425811768,0.3070253176373225,-0.004035729137178479,0.15817514216833267,0.45321771344789247,-0.0005452149753822832,0.0003497149326617351,-0.305,0.312,-0.382,0.371
straight,cell_carpet,0.2,0,2.800036668777466,0.3579658636235076,9.28289898289858e-05,0.13537683459896963,0.49257520534554194,-0.0004624886920180262,0.00046316132461029634,-0.352,0.351,-0.434,0.337
