motion_type,surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,odom_x,odom_y,odom_theta,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
circle,linoleum,0.2,0.20003533363342285,0.20003533363342285,0.0,0.0,0.0,0.0,0.0,0.0,-0.447,-0.277,0.468,0.435
circle,linoleum,0.2,0.3999989032745362,0.39999890327453613,0.0,0.0,0.0,0.021624235147297825,0.0011004665652751856,-6.75049087265735e-05,-0.389,0.855,-0.661,0.377
circle,linoleum,0.2,0.6000015735626221,0.6000015735626221,0.0,0.0,0.0,0.058362593761104115,0.004995154171435569,0.0007584936343040423,0.142,0.736,-0.521,-0.307
circle,linoleum,0.2,0.8000044822692871,0.8000044822692871,0.0,0.0,0.0,0.09314780036110887,0.015413364086903449,0.001414793427382933,0.409,1.062,-0.75,-0.355
circle,linoleum,0.2,1.0000507831573486,1.0000507831573486,0.0,0.0,0.0,0.12294748136867419,0.03303916896522933,0.00260551070555265,0.364,1.022,-0.893,-0.502
circle,linoleum,0.2,1.2000885009765625,1.2000885009765625,0.0,0.0,0.0,0.1475137803440971,0.05696601022468532,0.004282829610485362,0.683,0.926,-0.947,-0.881
circle,linoleum,0.2,1.4000327587127686,1.4000327587127686,0.0,0.0,0.0,0.1670442346254437,0.08432698917334933,0.006397991016583058,0.888,0.958,-0.853,-1.009
circle,linoleum,0.2,1.6000354290008545,1.6000354290008545,0.0,0.0,0.0,0.179158599742667,0.11579124080619735,0.005947957494076148,0.903,1.054,-0.826,-1.111
circle,linoleum,0.2,1.8000104427337649,1.8000104427337646,0.0,0.0,0.0,0.18234202938714267,0.15202619151131289,0.006912716097410062,1.021,0.718,-1.055,-1.14
circle,linoleum,0.2,1.9999933242797852,1.9999933242797852,0.0,0.0,0.0,0.17653749483816328,0.18849304026775876,0.006714889257804282,0.928,0.511,-0.664,-0.924
circle,linoleum,0.2,2.2000350952148438,2.2000350952148438,0.0,0.0,0.0,0.1623155440054313,0.22270457933767396,0.00737587411186166,0.903,0.837,-0.758,-1.082
circle,linoleum,0.2,2.400012731552124,2.400012731552124,0.0,0.0,0.0,0.1400823802349616,0.25566217334362706,0.0070833533546570335,0.778,0.559,-0.708,-0.554
circle,linoleum,0.2,2.600041627883911,2.600041627883911,0.0,0.0,0.0,0.11199806683405093,0.28512631434232927,0.006698013028326659,0.792,0.563,-0.373,-0.995
circle,linoleum,0.2,2.800027370452881,2.800027370452881,0.0,0.0,0.0,0.08088834811838076,0.31008135544457804,0.006333298733494394,0.721,0.289,-0.107,-0.939
circle,linoleum,0.2,3.000028133392334,3.000028133392334,4.797484501990258,2.69547120631869,-0.5465330740022407,0.045790365516042895,0.3285350370936334,0.00603046368185142,0.7,0.272,-0.154,-0.7
circle,linoleum,0.2,-3.083169285451071,3.2000160217285156,4.797484501990258,2.69547120631869,-0.5465330740022407,0.006729214473554502,0.3382705225004179,0.005986397879245892,0.824,0.235,-0.11,-0.728
circle,linoleum,0.2,-2.8831644693957728,3.4000208377838135,4.797484501990258,2.69547120631869,-0.5465330740022407,-0.0328809757102117,0.34178736153668055,0.00551667487464895,0.505,0.082,0.103,-0.554
circle,linoleum,0.2,-2.6831899325000212,3.5999953746795654,4.797484501990258,2.69547120631869,-0.5465330740022407,-0.07211730724716625,0.3398972924463921,0.004835997606640783,-0.018,-0.292,0.357,-0.064
