surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,x,y,theta,odom_x,odom_y,odom_theta,x_loc,y_loc,theta_loc,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
linoleum,0.2,0.0,0.19998478889465332,-0.6534266643459046,-0.32297250192825394,0.4013301823185493,0.003097019493367492,0.002690512456777372,0.042078780379790515,-0.3206975245927616,0.1956867073302911,-0.09732615076323085,0.0,0.0,0.0,-0.083,-0.013,0.09,-0.101
linoleum,0.2,0.0,0.39995670318603516,-0.6519345554845003,-0.322785307137024,0.38388238618963877,0.004589128354771765,0.0028777072480072885,0.024630984250880006,-0.3040996619354672,0.1923264849499774,-0.0972300386948333,0.01659786265729435,-0.0033602223803136932,9.611206839754693e-05,-0.584,0.587,-0.363,0.359
linoleum,0.2,0.0,0.6000633239746094,-0.6565236838392721,-0.3256630143850313,0.35925140193875876,0.0,0.0,0.0,-0.265415764135948,0.1845294446183553,-0.09745305462802066,0.0552817604568136,-0.01115726271193579,-0.00012690386478980686,-0.317,0.213,-0.104,0.137
linoleum,0.2,0.0,0.800011157989502,-0.6574560328830332,-0.32548216947016145,0.8109453933061792,-0.0009323490437611603,0.00018084491486985987,0.45169399136742044,-0.2259494022365103,0.1767188872461998,-0.09759302028834264,0.09474812235625127,-0.018967820084091286,-0.0002668695251117903,-0.235,0.238,-0.099,0.229
linoleum,0.2,0.0,0.9999878406524658,-0.6574103420901634,-0.32583965229684364,-0.4157200998178713,-0.0008866582508912924,-0.00017663791181232735,-0.7749715017566301,-0.18436703201199728,0.16852603883988931,-0.09778803588938473,0.1363304925807643,-0.027160668490401774,-0.0004618851261538742,-0.281,0.145,-0.101,0.075
linoleum,0.2,0.0,1.1999790668487549,-0.6574560328830332,-0.32548216947016145,0.8109453933061792,-0.0009323490437611603,0.00018084491486985987,0.45169399136742044,-0.1438130118833521,0.16061817952437005,-0.09781789440611598,0.17688451270940947,-0.03506852780592104,-0.000491743642885123,-0.25,0.194,-0.081,0.025
linoleum,0.2,0.0,1.3999874591827393,-0.6322039062841822,-0.3220802444655832,-0.41140158872153965,0.02431977755508985,0.0035827699194481144,-0.7706529906602984,-0.10388510434521364,0.15275232201415276,-0.0978216267145169,0.21681242024754793,-0.04293438531613833,-0.0004954759512860452,-0.241,0.339,-0.048,0.102
linoleum,0.2,0.0,1.6000020503997803,-0.5885976548744004,-0.3193099063860678,-0.40793521565456714,0.06792602896487165,0.006353107998963492,-0.767186617593326,-0.06758438267579146,0.14555702366366186,-0.09799424447388369,0.2531131419169701,-0.05012968366662923,-0.0006680937106528367,-0.232,0.158,-0.076,0.016
linoleum,0.2,0.0,1.7999804019927979,-0.5471716070994209,-0.31773865206612967,0.7693237919917758,0.10935207673985115,0.007924362318901645,0.41007239005301704,-0.028373343846035147,0.13767283229295557,-0.09809034930043253,0.29232418074672645,-0.058013875037335516,-0.0007641985372016796,-0.298,0.236,-0.066,0.163
linoleum,0.2,0.0,1.9999723434448242,-0.5122597341420649,-0.3200586346382703,-0.32498180858873427,0.14426394969720713,0.0056043797467610346,-0.6842332105274931,0.013778477685542806,0.12907581891113926,-0.09829468564756792,0.3344760022783044,-0.06661088841915183,-0.0009685348843370689,-0.203,0.207,-0.074,0.162
linoleum,0.2,0.0,2.1999542713165283,-0.46324356897399627,-0.31244341308953283,0.35151881945675895,0.1932801148652758,0.013219601295498484,-0.007732582481999817,0.0533968215819192,0.12125194778189724,-0.09838052433859987,0.3740943461746808,-0.07443475954839385,-0.0010543735753690137,-0.286,0.367,-0.111,0.115
linoleum,0.2,0.0,2.4000329971313477,-0.4274184233330149,-0.3144169324043457,0.2731149924623462,0.22910526050625718,0.011246081980685607,-0.08613640947641255,0.09259549051106643,0.11344985192088067,-0.0985615296132425,0.413293015103828,-0.08223685540941042,-0.0012353788500116397,-0.307,0.281,-0.064,0.12
linoleum,0.2,0.0,2.5999717712402344,-0.3851258073340086,-0.3126855335316771,0.2680578847781656,0.2713978765052635,0.012977480853354206,-0.09119351716059315,0.12854548597766072,0.10636342002527446,-0.09847289341673315,0.44924301057042226,-0.08932328730501662,-0.0011467426535023,-0.222,0.216,-0.077,0.126
linoleum,0.2,0.0,2.7999770641326904,-0.3401441561835254,-0.3069941657410669,0.28988926668909876,0.3163795276557467,0.018668848643964397,-0.06936213524966,0.17077787892280002,0.09800407699227437,-0.09855873058741059,0.4914754035155616,-0.09768263033801672,-0.0012325798241797359,-0.242,0.176,-0.063,0.14
linoleum,0.2,0.0,2.99997615814209,-0.2990988436920804,-0.30372581100727053,0.29474840719635653,0.35742484014719167,0.021937203377760783,-0.06450299474240223,0.2099272635811338,0.09006973616369517,-0.0987164078266836,0.5306247881738954,-0.10561697116659592,-0.001390257063452749,-0.2,0.277,-0.08,0.248
linoleum,0.2,0.0,3.1999828815460205,-0.2575442185605657,-0.30538042925669573,0.20729880136451367,0.39897946527870637,0.020282585128335584,-0.1519526005742451,0.24280763003679703,0.08355221184838896,-0.09887221662855045,0.5635051546295586,-0.11213449548190213,-0.001546065865319593,-0.281,0.268,-0.172,0.164
linoleum,0.2,0.0,3.39996075630188,-0.21433346576763626,-0.3015336556406387,-0.24328552805794124,0.44219021807163583,0.024129358744392593,-0.6025369299967,0.2889144677278252,0.0742784360483384,-0.09880037694298353,0.6096119923205867,-0.12140827128195268,-0.0014742261797526801,-0.129,0.225,-0.053,0.006
linoleum,0.2,0.0,3.599947690963745,-0.17244363528339587,-0.2972616892687416,0.18111819882911226,0.48408004855587616,0.028401325116289733,-0.1781332031096465,0.32832004502478707,0.06634783958155392,-0.09870521189139027,0.6490175696175486,-0.12933886774873715,-0.0013790611281594145,-0.202,0.203,-0.084,0.12
linoleum,0.2,0.0,3.7999603748321533,-0.13024261974773604,-0.2933674784670655,0.2568240091952033,0.5262810640915361,0.0322955359179658,-0.10242739274355545,0.3678598560607849,0.05836686161425403,-0.0987294697353991,0.6885573806535465,-0.13731984571603706,-0.0014033189721682493,-0.244,0.19,-0.09,0.071
linoleum,0.2,0.0,3.9999887943267822,-0.0903034511123356,-0.2897890556512845,-0.262737404960801,0.5662202327269364,0.035873958733746825,-0.6219888068995598,0.4073383268790756,0.05052059657885501,-0.09878544915148375,0.7280358514718372,-0.1451661107514361,-0.0014592983882528998,-0.206,0.103,-0.04,0.057
linoleum,0.2,0.0,4.696180820465088,-0.0031952603712801465,-0.28076111315855345,-0.29714199937559327,0.6533284234679919,0.04490190122647786,-0.656393401314352,0.45237712260493634,0.04142099058923773,-0.09878265018810257,0.7730746471976979,-0.15426571674105335,-0.0014564994248717211,-0.195,0.377,-0.101,0.119
linoleum,0.2,-3.141592653589793,0.20002245903015137,0.19254463080631865,-0.262392679489994,0.19014417914742643,0.0002185485355715444,-0.0008781577188402001,0.3704930485000001,0.47113644312442465,0.03772597180037296,-0.09885542298195753,0.0,0.0,0.0,-0.107,0.038,0.062,-0.036
linoleum,0.2,-3.141592653589793,0.399979829788208,0.1923260822707471,-0.2615145217711538,-0.1803488693525737,0.0,0.0,0.0,0.44948243851576736,0.042109839254386675,-0.09887688152538447,-0.021654004608657296,0.004383867454013715,-2.145854342694431e-05,0.32,-0.349,0.579,-0.507
linoleum,0.2,-3.141592653589793,0.6003010272979736,0.19212618948478605,-0.26183706153660413,0.21999835704990578,-0.0001998927859610533,-0.0003225397654503248,0.40034722640247944,0.4149881651994854,0.04875640130444331,-0.09879477902377629,-0.05614827792493926,0.01103042950407035,6.06439581812418e-05,0.195,-0.238,0.372,-0.238
linoleum,0.2,-3.141592653589793,0.7999858856201172,0.1923260822707471,-0.2615145217711538,-0.1803488693525737,0.0,0.0,0.0,0.37534508366784175,0.05644290941272492,-0.09891420062182289,-0.0957913594565829,0.018716937612351964,-5.8777639865364995e-05,0.077,-0.07,0.287,-0.272
linoleum,0.2,-3.141592653589793,1.0000226497650146,0.1911933841274124,-0.2612093187802008,-0.06962155595103577,-0.0011326981433346928,0.00030520299095299075,0.11072731340153792,0.33263548213709804,0.06494540484977375,-0.09898603949075535,-0.13850096098732662,0.02721943304940079,-0.00013061650879782338,0.218,-0.187,0.459,-0.282
linoleum,0.2,-3.141592653589793,1.1999781131744385,0.17921981013234478,-0.2630374522515032,0.20509243158346463,-0.01310627213840232,-0.0015229304803494048,0.38544130093603834,0.29926884148374944,0.07175127097494317,-0.09908306779339346,-0.17186760164067522,0.034025299174570214,-0.0002276448114359314,0.17,-0.066,0.233,-0.278
