motion_type,surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,odom_x,odom_y,odom_theta,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
spin,grass,0.5,0,0.19964289665222168,0.0,0.0,0.0,3.69237782460452e-07,-9.624684570441744e-06,8.542717643500453e-06,1.414,1.373,1.68,1.763
spin,grass,0.5,0,0.39957666397094727,0.0,0.0,0.0,0.00042373105041848547,-0.0007747375847335647,0.01738064637555048,2.029,2.166,2.054,2.344
spin,grass,0.5,0,0.5996637344360352,0.0,0.0,0.0,0.0011278694094358221,-0.001169987768941283,0.04569537295942949,1.783,1.795,1.965,1.807
spin,grass,0.5,0,0.799689769744873,0.0,0.0,0.0,0.0016206323823870772,-0.0017875572216448088,0.07079834959802023,1.375,1.395,1.923,1.58
spin,grass,0.5,0,0.9996480941772461,0.0,0.0,0.0,0.0013984404695396302,-0.002071550179816972,0.09555809252960334,1.388,1.456,1.72,2.218
spin,grass,0.5,0,1.1998136043548584,0.0,0.0,0.0,0.0011265261471861132,-0.0024902548433598515,0.11754605853021816,1.608,1.646,1.437,1.965
spin,grass,0.5,0,1.3996901512145996,0.0,0.0,0.0,0.0022509360283278768,-0.0025055617729774493,0.1375517018097927,1.375,1.512,1.519,1.335
spin,grass,0.5,0,1.5996625423431396,0.0,0.0,0.0,0.002785743126094975,-0.003562031812098132,0.15433025078238638,1.708,1.57,1.634,2.282
spin,grass,0.5,0,1.7996983528137207,0.0,0.0,0.0,0.0014547081179023813,-0.002736811240993786,0.1695092903280968,1.469,1.333,1.69,1.984
spin,grass,0.5,0,1.999619722366333,0.0,0.0,0.0,0.0012261057028305489,-0.0025001365094594608,0.18225280902187668,1.682,1.446,1.385,2.133
spin,grass,0.5,0,2.199639081954956,0.0,0.0,0.0,0.0017461385198180857,-0.0019339161095111024,0.190956908736575,1.578,1.438,1.523,1.641
spin,grass,0.5,0,2.399705410003662,0.0,0.0,0.0,0.00236617035157366,-0.004233088380502181,0.19825905277353584,1.259,1.667,1.985,1.653
spin,grass,0.5,0,2.599560499191284,0.0,0.0,0.0,0.002458330829526012,-0.006722672742307756,0.20311283534155833,1.233,1.486,1.994,2.424
spin,grass,0.5,0,2.799600124359131,0.0,0.0,0.0,0.0031146305251908424,-0.0066848848304821296,0.2054368500335939,1.305,1.737,1.542,2.406
spin,grass,0.5,0,2.9996256828308105,0.0,0.0,0.0,0.0039764016959671356,-0.006445887219574065,0.20517533733899618,1.364,1.627,1.515,2.222
spin,grass,0.5,0,3.1995792388916016,4.995054682254578,2.807477284909453,-0.5552598591436955,0.0053553176061814645,-0.009052955918269046,0.20231001734134324,1.516,1.47,2.233,2.613
spin,grass,0.5,0,3.3996832370758057,4.797484501990258,2.69547120631869,-0.5465330740022407,0.00460168433700997,-0.008775195705338579,0.19742458551495046,1.439,1.481,1.927,2.365
spin,grass,0.5,0,3.5996289253234863,4.797484501990258,2.69547120631869,-0.5465330740022407,0.005014690660096521,-0.010109458089646806,0.1894873349704962,1.272,1.608,2.185,2.426
spin,grass,0.5,0,3.799684762954712,4.797484501990258,2.69547120631869,-0.5465330740022407,0.005880460252696396,-0.013360047015139376,0.18003989120019248,1.125,1.323,2.237,2.311
spin,grass,0.5,0,3.999702215194702,4.797484501990258,2.69547120631869,-0.5465330740022407,0.005773142041187729,-0.015137235845885444,0.16797458550420452,1.576,1.303,2.185,2.608
spin,grass,0.5,0,4.199702501296997,4.797484501990258,2.69547120631869,-0.5465330740022407,0.003978161874117536,-0.016316947138551807,0.1528469613976835,1.969,1.205,2.435,1.878
spin,grass,0.5,0,4.399597406387329,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0030159827304817033,-0.016613718152345136,0.13527696897712382,1.736,1.527,2.19,2.43
spin,grass,0.5,0,4.599599838256836,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0010618890244449286,-0.014595133656601922,0.11431834319127065,1.478,1.661,1.49,2.367
spin,grass,0.5,0,4.799602746963501,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0021254466064028477,-0.013191837400821527,0.09412036243753452,1.364,1.469,1.425,2.414
spin,grass,0.5,0,4.9996583461761475,4.797484501990258,2.69547120631869,-0.5465330740022407,0.002416251476792697,-0.013362442517970363,0.07024452614575805,1.471,1.013,1.8,2.444
spin,grass,0.5,0,5.199627161026001,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0027565003021227663,-0.013513843339935105,0.04290483347780272,2.004,1.123,1.959,2.317
spin,grass,0.5,0,5.399626970291138,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0015103861137462649,-0.013863525571657043,0.014657797683672591,1.799,1.345,2.164,2.128
spin,grass,0.5,0,5.599583625793457,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0004844427742405899,-0.015254039264904984,-0.015675646293340395,1.684,1.509,1.466,2.327
spin,grass,0.5,0,5.799710273742676,4.797484501990258,2.69547120631869,-0.5465330740022407,0.00042589620104205306,-0.014518704013482653,-0.05144609639098863,1.497,1.108,1.8,2.214
spin,grass,0.5,0,5.999617576599121,4.797484501990258,2.69547120631869,-0.5465330740022407,-6.986333725894633e-05,-0.01493295584777421,-0.08404544622750165,1.311,1.087,2.046,2.026
spin,grass,0.5,0,6.199611186981201,4.797484501990258,2.69547120631869,-0.5465330740022407,-0.0013577610093701287,-0.015294191507394972,-0.11958075038647997,1.8,1.449,2.27,2.235
spin,grass,0.5,0,6.399702072143555,4.797484501990258,2.69547120631869,-0.5465330740022407,-0.0005885749674288676,-0.016233682849960296,-0.15640203723657642,1.387,1.585,1.586,2.313
spin,grass,0.5,0,6.599598169326782,4.797484501990258,2.69547120631869,-0.5465330740022407,0.0010628281097084247,-0.015642834313048137,-0.19804493352101527,1.337,1.38,2.234,2.158
spin,grass,0.5,0,6.7998974323272705,4.797484501990258,2.69547120631869,-0.5465330740022407,-0.00035450541532688895,-0.013835086914211647,-0.23650158495799845,1.293,1.444,2.186,2.261
spin,grass,0.5,0,6.999692916870117,4.797484501990258,2.69547120631869,-0.5465330740022407,0.001091535252235487,-0.012910632282852719,-0.278371159435826,1.495,1.517,2.126,2.147
spin,grass,0.5,0,7.199668645858765,4.797484501990258,2.69547120631869,-0.5465330740022407,0.002581432244833981,-0.012800780457656202,-0.321088284917326,1.117,1.491,1.994,2.087
spin,grass,0.5,0,7.399723768234253,4.797484501990258,2.69547120631869,-0.5465330740022407,0.003522194829086278,-0.013059468884819125,-0.3644664117717141,1.213,1.259,2.222,2.061
spin,grass,0.5,0,7.599794387817383,4.588507345153241,2.5814572930929276,-1.00448776724791,0.00413930606105678,-0.012741798489419365,-0.41100820838581226,1.565,1.337,2.234,2.085
spin,grass,0.5,0,7.7996907234191895,4.588507345153241,2.5814572930929276,-1.00448776724791,0.004680321007222321,-0.011739000566359126,-0.4571633145126345,1.558,1.296,2.409,2.493
spin,grass,0.5,0,7.999645948410034,4.588507345153241,2.5814572930929276,-1.00448776724791,0.007677549228685021,-0.009527283447333446,-0.50299665026089,1.251,1.068,2.453,2.395
